STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT02,WT08,WT03
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150316,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150317,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150318,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150319,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150320,-9999,-9999,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150321,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150322,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150323,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150324,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150325,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150326,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150327,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150328,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150329,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150330,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150331,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150401,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150402,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150403,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150404,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150405,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150406,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150407,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150408,-9999,-9999,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150409,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150410,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150411,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150412,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150413,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150414,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150415,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150416,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150417,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150418,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150419,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
